GeneId,GeneName
ENSG00000253916,MTCO1P49
ENSG00000229760,MTCO1P52
ENSG00000237300,MTCO1P19
ENSG00000237628,MTCO2P19
ENSG00000224471,MTCO3P19
ENSG00000230916,MTCO1P53
ENSG00000224083,MTCO1P11
ENSG00000235917,MTCO2P11
ENSG00000237711,MTCO3P11
ENSG00000229080,MTCO3P30
ENSG00000232981,MTCO1P51
ENSG00000228046,MTCO3P40
ENSG00000228069,MTCO3P29
ENSG00000229690,MTCO2P1
ENSG00000235803,MTCO2P23
ENSG00000235524,MTCO1P23
ENSG00000280243,MTCO1P1
ENSG00000228930,MTCO1P3
ENSG00000200985,RNA5SP493
ENSG00000222585,RNA5SP494
ENSG00000252267,RNA5SP495
ENSG00000212542,RNA5SP496
ENSG00000251890,RNA5SP497
ENSG00000202147,RNA5SP329
ENSG00000252905,RNA5SP330
ENSG00000201856,RNA5SP331
ENSG00000212365,RNA5SP332
ENSG00000200336,RNA5SP333
ENSG00000201695,RNA5SP334
ENSG00000200687,RNA5SP335
ENSG00000201059,RNA5SP336
ENSG00000252816,RNA5SP337
ENSG00000222427,RNA5SP338
ENSG00000212289,RNA5SP339
ENSG00000252941,RNA5SP340
ENSG00000252070,RNA5SP341
ENSG00000252902,RNA5SP342
ENSG00000284736,RNA5SP343
ENSG00000223013,RNA5SP344
ENSG00000222578,RNA5SP345
ENSG00000200411,RNA5SP346
ENSG00000199315,RNA5SP347
ENSG00000274097,RNA5SP535
ENSG00000200613,RNA5SP349
ENSG00000200168,RNA5SP350
ENSG00000238965,RNA5SP351
ENSG00000200278,RNA5SP352
ENSG00000201476,RNA5SP353
ENSG00000212549,RNA5SP354
ENSG00000202187,RNA5SP355
ENSG00000251781,RNA5SP356
ENSG00000272435,RNA5SP357
ENSG00000199843,RNA5SP358
ENSG00000201708,RNA5SP359
ENSG00000252364,RNA5SP360
ENSG00000199556,RNA5SP361
ENSG00000251857,RNA5SP362
ENSG00000201942,RNA5SP363
ENSG00000252747,RNA5SP364
ENSG00000252207,RNA5SP365
ENSG00000202324,RNA5SP366
ENSG00000252366,RNA5SP367
ENSG00000201168,RNA5SP368
ENSG00000223046,RNA5SP369
ENSG00000199415,RNA5SP370
ENSG00000222302,RNA5SP371
ENSG00000212138,RNA5SP372
ENSG00000253080,RNA5SP373
ENSG00000199809,RNA5SP374
ENSG00000199845,RNA5SP375
ENSG00000212251,RNA5SP376
ENSG00000212154,RNA5SP377
ENSG00000200516,RNA5SP378
ENSG00000201469,RNA5SP379
ENSG00000252287,RNA5SP24
ENSG00000222747,RNA5SP25
ENSG00000199276,RNA5SP26
ENSG00000200709,RNA5SP27
ENSG00000200711,RNA5SP28
ENSG00000222920,RNA5SP29
ENSG00000202422,RNA5SP30
ENSG00000223076,RNA5SP31
ENSG00000252496,RNA5SP33
ENSG00000252696,RNA5SP34
ENSG00000212559,RNA5SP35
ENSG00000222129,RNA5SP36
ENSG00000202290,RNA5SP37
ENSG00000222682,RNA5SP38
ENSG00000223177,RNA5SP39
ENSG00000252999,RNA5SP380
ENSG00000200225,RNA5SP382
ENSG00000199804,RNA5SP383
ENSG00000252424,RNA5SP384
ENSG00000251756,RNA5SP385
ENSG00000272253,RNA5SP386
ENSG00000201096,RNA5SP387
ENSG00000199454,RNA5SP388
ENSG00000199480,RNA5SP389
ENSG00000222123,RNA5SP390
ENSG00000200326,RNA5SP391
ENSG00000252714,RNA5SP392
ENSG00000200293,RNA5SP393
ENSG00000201086,RNA5SP394
ENSG00000252376,RNA5SP395
ENSG00000201704,RNA5SP396
ENSG00000212625,RNA5SP397
ENSG00000200873,RNA5SP399
ENSG00000252964,RNA5SP400
ENSG00000251729,RNA5SP401
ENSG00000252957,RNA5SP402
ENSG00000200468,RNA5SP403
ENSG00000252927,RNA5SP404
ENSG00000199929,RNA5SP405
ENSG00000200434,RNA5-8SP2
ENSG00000251915,RNA5SP406
ENSG00000222207,RNA5SP407
ENSG00000251924,RNA5SP408
ENSG00000252624,RNA5SP409
ENSG00000252094,RNA5SP410
ENSG00000276599,RNA5SP411
ENSG00000277004,RNA5SP412
ENSG00000252182,RNA5SP413
ENSG00000274228,RNA5SP414
ENSG00000253055,RNA5SP415
ENSG00000252647,RNA5SP416
ENSG00000252268,RNA5SP417
ENSG00000251760,RNA5SP418
ENSG00000251717,RNA5SP419
ENSG00000252806,RNA5SP420
ENSG00000252673,RNA5SP421
ENSG00000252587,RNA5SP422
ENSG00000252936,RNA5SP423
ENSG00000222268,RNA5SP425
ENSG00000199771,RNA5SP426
ENSG00000202193,RNA5SP427
ENSG00000201999,RNA5SP428
ENSG00000200558,RNA5SP429
ENSG00000199299,RNA5SP430
ENSG00000222244,RNA5SP431
ENSG00000199350,RNA5SP432
ENSG00000201361,RNA5SP433
ENSG00000252456,RNA5SP434
ENSG00000200914,RNA5SP435
ENSG00000251829,RNA5SP436
ENSG00000253058,RNA5SP437
ENSG00000252370,RNA5SP438
ENSG00000274164,RNA5SP439
ENSG00000274663,RNA5SP526
ENSG00000276036,RNA5SP440
ENSG00000252618,RNA5SP441
ENSG00000201920,RNA5SP442
ENSG00000199953,RNA5SP443
ENSG00000252653,RNA5SP444
ENSG00000251698,RNA5SP445
ENSG00000251764,RNA5SP446
ENSG00000200619,RNA5SP447
ENSG00000200021,RNA5SP448
ENSG00000252680,RNA5SP449
ENSG00000223138,RNA5SP450
ENSG00000222520,RNA5SP451
ENSG00000199874,RNA5SP452
ENSG00000199373,RNA5SP453
ENSG00000253040,RNA5SP454
ENSG00000202060,RNA5SP455
ENSG00000200872,RNA5SP456
ENSG00000200527,RNA5SP457
ENSG00000251997,RNA5SP458
ENSG00000252437,RNA5SP459
ENSG00000252598,RNA5SP460
ENSG00000252260,RNA5SP461
ENSG00000252539,RNA5SP462
ENSG00000252060,RNA5SP464
ENSG00000212497,RNA5SP465
ENSG00000252546,RNA5SP466
ENSG00000212576,RNA5SP467
ENSG00000252591,RNA5SP468
ENSG00000201035,RNA5SP469
ENSG00000201966,RNA5-8SP4
ENSG00000252272,RNA5SP470
ENSG00000252780,RNA5SP471
ENSG00000200738,RNA5SP472
ENSG00000252211,RNA5SP473
ENSG00000252956,RNA5SP40
ENSG00000222952,RNA5SP41
ENSG00000201148,RNA5SP42
ENSG00000252368,RNA5SP43
ENSG00000222378,RNA5SP44
ENSG00000252563,RNA5SP45
ENSG00000199240,RNA5SP46
ENSG00000253039,RNA5SP47
ENSG00000200839,RNA5SP48
